metro,city,year_month,house_count,power_use,bill
강원도,화천군,2021-01,14222,214.61,28300
강원도,고성군,2021-01,18133,199.22,26836
강원도,춘천시,2021-01,156975,257.7,31015
강원도,동해시,2021-01,52931,241.87,27701
강원도,태백시,2021-01,24329,241.17,28963
강원도,홍천군,2021-01,43067,224.66,29552
강원도,양양군,2021-01,20207,218.61,27519
충청북도,영동군,2021-01,29674,204.64,26260
충청북도,괴산군,2021-01,24271,209.9,28329
충청북도,음성군,2021-01,62869,223.81,26951
충청북도,청주시 청원구,2021-01,113474,234.03,26765
충청북도,청주시 서원구,2021-01,110963,235.33,27157
충청북도,제천시,2021-01,77084,243.91,29850
충청북도,보은군,2021-01,21187,208.1,27375
충청북도,청주시 상당구,2021-01,97547,259.86,31169
충청북도,증평군,2021-01,23245,215.69,25024
충청북도,충주시,2021-01,133587,228.24,27573
충청북도,청주시 흥덕구,2021-01,154579,235.77,27926
충청북도,단양군,2021-01,18822,210.55,27826
충청북도,옥천군,2021-01,29744,219.03,27985
충청북도,진천군,2021-01,53758,235.57,28131
충청남도,천안시 동남구,2021-01,140225,236.72,26898
충청남도,예산군,2021-01,48495,223.98,27107
충청남도,보령시,2021-01,58978,238.81,28812
충청남도,계룡시,2021-01,20090,282.87,31545
충청남도,논산시,2021-01,72406,216.89,25537
충청남도,금산군,2021-01,32820,206.13,26158
충청남도,홍성군,2021-01,60342,242.85,28470
충청남도,당진시,2021-01,110915,228.17,26754
충청남도,아산시,2021-01,186011,237.42,26644
충청남도,공주시,2021-01,63850,223.98,27257
충청남도,서산시,2021-01,109374,233.83,26695
충청남도,부여군,2021-01,38862,219.26,26983
충청남도,서천군,2021-01,34434,205.66,25503
충청남도,청양군,2021-01,19267,209.4,26400
충청남도,태안군,2021-01,38767,211.28,26258
충청남도,천안시 서북구,2021-01,219331,254.19,27898
전라북도,김제시,2021-01,49745,209.66,25680
전라북도,전주시 완산구,2021-01,183567,258.14,29109
전라북도,장수군,2021-01,13762,194.55,23928
전라북도,임실군,2021-01,17637,177.37,22046
전라북도,남원시,2021-01,49406,215.23,25534
전라북도,무주군,2021-01,15783,202.15,25178
전라북도,순창군,2021-01,16220,201.68,24154
전라북도,완주군,2021-01,52725,221.55,25769
전라북도,고창군,2021-01,33806,207.88,26046
전라북도,익산시,2021-01,156407,240.4,27044
전라북도,정읍시,2021-01,65935,219.69,25657
전라북도,전주시 덕진구,2021-01,171844,260.2,29471
전라북도,군산시,2021-01,154240,243.21,26934
전라북도,부안군,2021-01,30971,209.9,25728
전라북도,진안군,2021-01,15542,189.9,23544
전라남도,여수시,2021-01,151720,245.05,28043
전라남도,구례군,2021-01,15912,206.14,25128
전라남도,장흥군,2021-01,23584,199.96,23880
전라남도,보성군,2021-01,25785,197.49,23898
전라남도,곡성군,2021-01,17907,192.27,23619
전라남도,진도군,2021-01,19813,205.27,26209
전라남도,담양군,2021-01,24789,211.61,27373
전라남도,화순군,2021-01,36544,209.55,23894
전라남도,목포시,2021-01,124030,254.91,28436
전라남도,해남군,2021-01,40654,215.32,26842
전라남도,영암군,2021-01,37656,193.83,21479
전라남도,영광군,2021-01,30627,218.96,26934
전라남도,순천시,2021-01,147640,255.22,29187
전라남도,무안군,2021-01,51413,235.5,28412
전라남도,함평군,2021-01,19025,192.97,23331
전라남도,장성군,2021-01,25131,204.59,25291
전라남도,나주시,2021-01,71352,222.3,24323
전라남도,강진군,2021-01,22206,198.26,23696
전라남도,완도군,2021-01,29807,210.85,27208
전라남도,광양시,2021-01,79894,236.61,26460
전라남도,고흥군,2021-01,43637,195.84,24346
전라남도,신안군,2021-01,22864,179.32,23819
경상북도,김천시,2021-01,83016,223.68,24789
경상북도,상주시,2021-01,60038,208.09,24667
경상북도,봉화군,2021-01,20401,194.63,23546
경상북도,성주군,2021-01,25097,195.19,25295
경상북도,포항시 남구,2021-01,136492,227.08,25407
경상북도,경주시,2021-01,166484,219.54,25594
경상북도,문경시,2021-01,41823,220.51,27216
경상북도,영양군,2021-01,11487,187.63,23000
경상북도,의성군,2021-01,33730,195.67,23923
경상북도,예천군,2021-01,36032,227.39,26111
경상북도,구미시,2021-01,238959,232.27,25121
경상북도,영주시,2021-01,61477,229.62,27047
경상북도,경산시,2021-01,169982,214.39,22938
경상북도,영덕군,2021-01,24401,189.71,24334
경상북도,청도군,2021-01,27171,195.83,24557
경상북도,칠곡군,2021-01,71168,215.51,24556
경상북도,포항시 북구,2021-01,147186,251.24,27908
경상북도,안동시,2021-01,99829,222.28,25105
경상북도,군위군,2021-01,14930,182.08,22901
경상북도,고령군,2021-01,18604,208.66,25640
경상북도,울진군,2021-01,35634,216.05,27165
경상북도,울릉군,2021-01,4977,184.23,24228
경상북도,영천시,2021-01,60043,213.51,24250
경상북도,청송군,2021-01,16840,193.9,24125
경상남도,통영시,2021-01,75778,232.32,28097
경상남도,김해시,2021-01,268935,265.77,29831
경상남도,밀양시,2021-01,65955,213.19,26680
경상남도,거제시,2021-01,142463,245.92,29471
경상남도,의령군,2021-01,19050,176.35,22368
경상남도,함안군,2021-01,37562,225.23,28066
경상남도,고성군,2021-01,34384,199.79,25731
경상남도,남해군,2021-01,29004,185.16,25285
경상남도,함양군,2021-01,25357,196.58,24275
경상남도,합천군,2021-01,30403,176.8,22680
경상남도,양산시,2021-01,180130,261.72,28252
경상남도,하동군,2021-01,28708,185.87,24493
