ISO_CODE,metro,city,year_month,house_count,power_use,bill,total_usage
KR-47,경상북도,고령군,2021-02,18624,196.3,23404,3655891.2
KR-48,경상남도,고성군,2021-02,34504,187.69,23244,6476055.76
KR-48,경상남도,창원시 마산합포구,2021-02,101922,227.47,26079,23184197.34
KR-48,경상남도,의령군,2021-02,19064,170.23,21174,3245264.72
KR-48,경상남도,함양군,2021-02,25559,190.38,23087,4865922.42
KR-48,경상남도,창원시 의창구,2021-02,140225,231.2,27454,32420020.0
KR-48,경상남도,함안군,2021-02,37561,214.4,25845,8053078.4
KR-48,경상남도,양산시,2021-02,180132,250.0,26253,45033000.0
KR-48,경상남도,남해군,2021-02,29027,175.02,23440,5080305.54
KR-48,경상남도,밀양시,2021-02,66014,203.88,24586,13458934.32
KR-48,경상남도,거제시,2021-02,142488,235.01,27263,33486104.88
KR-48,경상남도,거창군,2021-02,36782,200.85,24114,7387664.7
KR-48,경상남도,산청군,2021-02,22973,174.71,22093,4013612.83
KR-48,경상남도,합천군,2021-02,30596,171.9,21654,5259452.4
KR-48,경상남도,진주시,2021-02,201268,232.87,26908,46869279.16
KR-48,경상남도,창원시 진해구,2021-02,105921,233.51,25680,24733612.71
KR-48,경상남도,통영시,2021-02,75745,225.54,26554,17083527.3
KR-48,경상남도,김해시,2021-02,268946,251.23,27026,67567303.58
KR-48,경상남도,창녕군,2021-02,38902,195.49,24263,7604951.98
KR-48,경상남도,창원시 성산구,2021-02,101561,246.55,26083,25039864.55
KR-48,경상남도,사천시,2021-02,68396,207.92,24334,14220896.32
KR-48,경상남도,하동군,2021-02,28763,177.52,22822,5106007.76
KR-48,경상남도,창원시 마산회원구,2021-02,95251,244.9,27375,23326969.9
KR-49,제주특별자치도,제주시,2021-02,262151,233.13,29168,61115262.63
KR-49,제주특별자치도,서귀포시,2021-02,102723,216.15,27445,22203576.45
KR-50,세종특별자치시, ,2021-02,177640,291.19,33496,51726991.6
KR-11,서울특별시,서대문구,2021-03,159897,209.41,21206,33484030.77
KR-11,서울특별시,동작구,2021-03,202872,192.35,19080,39022429.2
KR-11,서울특별시,송파구,2021-03,284687,237.15,24854,67513522.05
KR-11,서울특별시,중구,2021-03,73328,196.14,19988,14382553.92
KR-11,서울특별시,성동구,2021-03,140383,228.64,23088,32097169.12
KR-11,서울특별시,도봉구,2021-03,147921,221.63,21192,32783731.23
KR-11,서울특별시,은평구,2021-03,224776,217.86,22359,48969699.36
KR-11,서울특별시,관악구,2021-03,301164,164.71,15080,49604722.44
KR-11,서울특별시,종로구,2021-03,87657,188.72,21004,16542629.04
KR-11,서울특별시,동대문구,2021-03,189934,197.35,19108,37483474.9
KR-11,서울특별시,구로구,2021-03,206558,210.82,20394,43546557.56
KR-11,서울특별시,강동구,2021-03,208942,214.59,21965,44836863.78
KR-11,서울특별시,강남구,2021-03,262082,234.06,26565,61342912.92
KR-11,서울특별시,금천구,2021-03,132629,187.21,17680,24829475.09
KR-11,서울특별시,성북구,2021-03,211460,221.68,22865,46876452.8
